"symbol","date","adjusted"
"MRE.TO",2018-06-01,12.4476013183594
"MRE.TO",2018-07-01,12.4590244293213
"MRE.TO",2018-08-01,12.5033016204834
"MRE.TO",2018-09-01,11.679783821106
"MRE.TO",2018-10-01,10.1194095611572
"MRE.TO",2018-11-01,9.54192352294922
"MRE.TO",2018-12-01,9.64853382110596
"MRE.TO",2019-01-01,11.2329196929932
"MRE.TO",2019-02-01,10.9474172592163
"MRE.TO",2019-03-01,10.7957420349121
"MRE.TO",2019-04-01,12.2070589065552
"MRE.TO",2019-05-01,8.75899124145508
"MRE.TO",2019-06-01,9.72623920440674
"MRE.TO",2019-07-01,9.72305297851562
"MRE.TO",2019-08-01,9.18338298797607
"MRE.TO",2019-09-01,10.2717142105103
"MRE.TO",2019-10-01,9.69867897033691
"MRE.TO",2019-11-01,11.1616048812866
"MRE.TO",2019-12-01,12.9225416183472
"MRE.TO",2020-01-01,11.6857414245605
"MRE.TO",2020-02-01,10.4175233840942
"MRE.TO",2020-03-01,6.16898488998413
"MRE.TO",2020-04-01,7.67827367782593
"MRE.TO",2020-05-01,8.26258754730225
"MRE.TO",2020-06-01,9.38557052612305
"MRE.TO",2020-07-01,9.09341239929199
"MRE.TO",2020-08-01,9.20023345947266
"MRE.TO",2020-09-01,8.74159812927246
"MRE.TO",2020-10-01,9.24770641326904
"MRE.TO",2020-11-01,13.1109066009521
"MRE.TO",2020-12-01,13.7009878158569
"MRE.TO",2021-01-01,12.5442514419556
"MRE.TO",2021-02-01,13.7653741836548
"MRE.TO",2021-03-01,11.3508853912354
"MRE.TO",2021-04-01,12.4005975723267
"MRE.TO",2021-05-01,12.6978406906128
"MRE.TO",2021-06-01,12.1405076980591
"MRE.TO",2021-07-01,11.804723739624
"MRE.TO",2021-08-01,11.2639064788818
"MRE.TO",2021-09-01,10.4899787902832
"MRE.TO",2021-10-01,10.7591257095337
"MRE.TO",2021-11-01,9.22344589233398
"MRE.TO",2021-12-01,10.7684879302979
"MRE.TO",2022-01-01,9.85599899291992
"MRE.TO",2022-02-01,9.30113124847412
"MRE.TO",2022-03-01,8.4453125
"MRE.TO",2022-04-01,7.25209474563599
"MRE.TO",2022-05-01,9.31331443786621
"MRE.TO",2022-06-01,7.85722398757935
"MRE.TO",2022-07-01,8.88099670410156
"MRE.TO",2022-08-01,9.8413610458374
"MRE.TO",2022-09-01,8.1298189163208
"MRE.TO",2022-10-01,8.34429931640625
"MRE.TO",2022-11-01,11.3838024139404
"MRE.TO",2022-12-01,10.7625207901001
"MRE.TO",2023-01-01,12.3594694137573
"MRE.TO",2023-02-01,13.4254379272461
"MRE.TO",2023-03-01,13.9920330047607
"MRE.TO",2023-04-01,13.6391344070435
"MRE.TO",2023-05-01,10.940224647522
"MRE.TO",2023-06-01,12.7716283798218
"MRE.TO",2023-07-01,14.2912979125977
"MRE.TO",2023-08-01,13.2172727584839
"MRE.TO",2023-09-01,12.1045446395874
"MRE.TO",2023-10-01,11.1046161651611
"MRE.TO",2023-11-01,11.6389570236206
"MRE.TO",2023-12-01,13.9317750930786
"MRE.TO",2024-01-01,13.4637088775635
"MRE.TO",2024-02-01,13.5514507293701
"MRE.TO",2024-03-01,11.8550834655762
"MRE.TO",2024-04-01,11.2095537185669
"MRE.TO",2024-05-01,11.7382144927979
"MRE.TO",2024-06-01,11.2585048675537
"MRE.TO",2024-07-01,11.1894636154175
"MRE.TO",2024-08-01,11.4451112747192
"MRE.TO",2024-09-01,11.2582912445068
"MRE.TO",2024-10-01,10.1709747314453
"MRE.TO",2024-11-01,10.0327281951904
"MRE.TO",2024-12-01,8.90700912475586
"MRE.TO",2025-01-01,8.72887325286865
"MRE.TO",2025-02-01,7.92450666427612
"MRE.TO",2025-03-01,6.97118234634399
"MRE.TO",2025-04-01,6.59000015258789
"MRE.TO",2025-04-22,6.59000015258789
"XTC.TO",2018-01-01,6.80290460586548
"XTC.TO",2018-02-01,6.66191148757935
"XTC.TO",2018-03-01,6.40812397003174
"XTC.TO",2018-04-01,6.93545818328857
"XTC.TO",2018-05-01,6.68649005889893
"XTC.TO",2018-06-01,6.3237133026123
"XTC.TO",2018-07-01,6.71342658996582
"XTC.TO",2018-08-01,7.15859603881836
"XTC.TO",2018-09-01,6.78522777557373
"XTC.TO",2018-10-01,6.68609714508057
"XTC.TO",2018-11-01,6.85995006561279
"XTC.TO",2018-12-01,6.54122018814087
"XTC.TO",2019-01-01,7.29084920883179
"XTC.TO",2019-02-01,7.09340381622314
"XTC.TO",2019-03-01,6.92520952224731
"XTC.TO",2019-04-01,6.9172682762146
"XTC.TO",2019-05-01,6.05353450775146
"XTC.TO",2019-06-01,5.72132873535156
"XTC.TO",2019-07-01,6.22479391098022
