"REF_DATE","GEO","DGUID","Trade","North American Product Classification System (NAPCS)","Principal trading partners","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2024-09","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","95480","","","","0"
"2024-10","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","116523","","","","0"
"2024-11","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","130326","","","","0"
"2024-12","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","114962","","","","0"
"2025-01","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","94728","","","","0"
"2025-02","Alberta","2021A000248","Import","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090328","10.1.10.2","105301","","","","0"
"2018-01","Alberta","2021A000248","Domestic export","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090705","10.2.10.2","23493","","","","0"
"2018-02","Alberta","2021A000248","Domestic export","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090705","10.2.10.2","27298","","","","0"
"2018-03","Alberta","2021A000248","Domestic export","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090705","10.2.10.2","30893","","","","0"
"2018-04","Alberta","2021A000248","Domestic export","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090705","10.2.10.2","44200","","","","0"
"2018-05","Alberta","2021A000248","Domestic export","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090705","10.2.10.2","43344","","","","0"
"2018-06","Alberta","2021A000248","Domestic export","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090705","10.2.10.2","43578","","","","0"
"2018-07","Alberta","2021A000248","Domestic export","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090705","10.2.10.2","32740","","","","0"
"2018-08","Alberta","2021A000248","Domestic export","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090705","10.2.10.2","37801","","","","0"
"2018-09","Alberta","2021A000248","Domestic export","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090705","10.2.10.2","36610","","","","0"
"2018-10","Alberta","2021A000248","Domestic export","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090705","10.2.10.2","38317","","","","0"
"2018-11","Alberta","2021A000248","Domestic export","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090705","10.2.10.2","38495","","","","0"
"2018-12","Alberta","2021A000248","Domestic export","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090705","10.2.10.2","32042","","","","0"
"2019-01","Alberta","2021A000248","Domestic export","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090705","10.2.10.2","36114","","","","0"
"2019-02","Alberta","2021A000248","Domestic export","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090705","10.2.10.2","29968","","","","0"
"2019-03","Alberta","2021A000248","Domestic export","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090705","10.2.10.2","45490","","","","0"
"2019-04","Alberta","2021A000248","Domestic export","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090705","10.2.10.2","46737","","","","0"
"2019-05","Alberta","2021A000248","Domestic export","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090705","10.2.10.2","41522","","","","0"
"2019-06","Alberta","2021A000248","Domestic export","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090705","10.2.10.2","41823","","","","0"
"2019-07","Alberta","2021A000248","Domestic export","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090705","10.2.10.2","32860","","","","0"
"2019-08","Alberta","2021A000248","Domestic export","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090705","10.2.10.2","37506","","","","0"
"2019-09","Alberta","2021A000248","Domestic export","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090705","10.2.10.2","37905","","","","0"
"2019-10","Alberta","2021A000248","Domestic export","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090705","10.2.10.2","51021","","","","0"
"2019-11","Alberta","2021A000248","Domestic export","Motor vehicles and parts [C19]","United States","Dollars","81","thousands","3","v1567090705","10.2.10.2","38307","","","","0"
